autm_institution,pci_match_name,match_source,autm_norm_key,pci_norm_key,autm_year_min,autm_year_max,autm_rows,pci_year_min,pci_year_max,pci_rows,has_year_overlap
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,exact_normalized,albert einstein yeshiva,albert einstein yeshiva,1998,2023,18,1985.0,2025.0,41.0,True
Arizona State University,Arizona State University,exact_normalized,arizona state university,arizona state university,1993,2023,31,2001.0,2025.0,25.0,True
Auburn University,Auburn University,exact_normalized,auburn university,auburn university,1995,2023,29,2012.0,2025.0,14.0,True
Ball State University,Ball State University,exact_normalized,ball state university,ball state university,1991,2018,13,2008.0,2025.0,18.0,True
Baylor College of Medicine,Baylor College of Medicine,exact_normalized,baylor college of medicine,baylor college of medicine,1991,2023,33,1995.0,2025.0,31.0,True
Boston University,Boston University,exact_normalized,boston university,boston university,1995,2023,26,2000.0,2025.0,26.0,True
Brandeis University,Brandeis University,exact_normalized,brandeis university,brandeis university,1993,2023,21,1990.0,2025.0,36.0,True
Brigham Young University,Brigham Young University,exact_normalized,brigham young university,brigham young university,1991,2023,32,1991.0,2025.0,35.0,True
Brown University,Brown University,exact_normalized,brown university,brown university,1993,2023,24,1981.0,2025.0,45.0,True
California Institute of Technology,California Institute of Technology,exact_normalized,california institute of technology,california institute of technology,1993,2023,30,1925.0,2025.0,101.0,True
Carnegie Mellon University,Carnegie Mellon University,exact_normalized,carnegie mellon university,carnegie mellon university,1993,2023,31,1985.0,2025.0,41.0,True
Case Western Reserve University,Case Western Reserve University,exact_normalized,case western reserve university,case western reserve university,1991,2023,33,2003.0,2025.0,23.0,True
Clemson University,Clemson University,exact_normalized,clemson university,clemson university,1991,2023,33,1991.0,2025.0,35.0,True
Colorado State University,Colorado State University,exact_normalized,colorado state university,colorado state university,1991,2023,32,2000.0,2025.0,26.0,True
Columbia University,Columbia University,exact_normalized,columbia university,columbia university,1991,2022,27,1989.0,2025.0,37.0,True
Creighton University,Creighton University,exact_normalized,creighton university,creighton university,1996,2016,12,2002.0,2025.0,24.0,True
Dartmouth College,Dartmouth College,exact_normalized,dartmouth college,dartmouth college,1991,2023,30,1996.0,2025.0,30.0,True
Drexel University,Drexel University,exact_normalized,drexel university,drexel university,1993,2023,22,2004.0,2025.0,22.0,True
Duke University,Duke University,exact_normalized,duke university,duke university,1993,2023,30,1990.0,2025.0,36.0,True
East Carolina University,East Carolina University,exact_normalized,east carolina university,east carolina university,1996,2023,28,2012.0,2025.0,14.0,True
Emory University,Emory University,exact_normalized,emory university,emory university,1993,2023,31,1990.0,2025.0,36.0,True
Florida Atlantic University,Florida Atlantic University,exact_normalized,florida atlantic university,florida atlantic university,1991,2023,17,1998.0,2025.0,28.0,True
Florida State University,Florida State University,exact_normalized,florida state university,florida state university,1993,2023,29,1991.0,2025.0,35.0,True
George Mason University,George Mason University,exact_normalized,george mason university,george mason university,1998,2023,17,2008.0,2025.0,18.0,True
