Institution_std,pci_match_name,autm_years,matched_years,first_autm_year,last_autm_year,first_pci_source_year,last_pci_source_year
Clemson University,Clemson University,33,33,1991,2023,1991.0,2016.0
SUNY,SUNY,33,33,1991,2023,1988.0,2021.0
University of Arizona,University of Arizona,33,33,1991,2023,1987.0,2018.0
Brigham Young University,Brigham Young University,32,32,1991,2023,1991.0,2019.0
Johns Hopkins University,Johns Hopkins University,33,32,1991,2023,1992.0,2011.0
University of Arkansas Fayetteville,University of Arkansas,32,32,1991,2023,1986.0,2016.0
Carnegie Mellon University,Carnegie Mellon University,31,31,1993,2023,1985.0,1985.0
Emory University,Emory University,31,31,1993,2023,1990.0,2015.0
Iowa State University,Iowa State University,31,31,1993,2023,1982.0,2000.0
New York University Medical Center,New York University,31,31,1993,2023,1983.0,2021.0
University of Pittsburgh,University of Pittsburgh,31,31,1993,2023,1978.0,2021.0
University of Virginia,University of Virginia,31,31,1993,2023,1993.0,2021.0
California Institute of Technology,California Institute of Technology,30,30,1993,2023,1968.0,2023.0
Duke University,Duke University,30,30,1993,2023,1990.0,2022.0
Stanford University,Stanford University,30,30,1991,2023,1989.0,2023.0
Tulane University,Tulane University,30,30,1991,2022,1985.0,2001.0
University of Georgia,University of Georgia,30,30,1993,2023,1982.0,1995.0
University of Hawaii,University of Hawaii,30,30,1993,2023,1985.0,2020.0
University of Kentucky,University of Kentucky,30,30,1993,2023,1993.0,2005.0
University of Pennsylvania,University of Pennsylvania,30,30,1993,2023,1993.0,2023.0
Baylor College of Medicine,Baylor College of Medicine,33,29,1991,2023,1995.0,2001.0
Florida State University,Florida State University,29,29,1993,2023,1991.0,1991.0
Mississippi State University,Mississippi State University,30,29,1993,2023,1994.0,2003.0
Temple University,Temple University,29,29,1991,2020,1985.0,2011.0
Texas A&M University System,Texas A&M University System,29,29,1993,2023,1991.0,2023.0
Rutgers the State University of NJ,Rutgers the State University of NJ,33,28,1991,2023,1996.0,2021.0
University of South Carolina,University of South Carolina,28,28,1994,2023,1994.0,2021.0
Virginia Tech (Virginia Polytechnic Institute),Virginia Tech,28,28,1993,2023,1990.0,2021.0
Columbia University,Columbia University,27,27,1991,2022,1989.0,1989.0
Georgia Institute of Technology,Georgia Institute of Technology,32,27,1991,2023,1996.0,2014.0
Montana State University,Montana State University,30,27,1994,2023,1997.0,2017.0
Ohio University,Ohio University,29,27,1993,2023,1995.0,1995.0
University of California System,University of California System,27,27,1992,2021,1990.0,1997.0
University of Delaware,University of Delaware,27,27,1993,2023,1993.0,2021.0
Harvard University,Harvard University,33,26,1991,2023,1998.0,2010.0
Indiana University,Indiana University,32,26,1991,2023,1997.0,2020.0
Michigan State University,Michigan State University,33,26,1991,2023,1998.0,2017.0
Penn State University,Penn State University,33,26,1991,2023,1998.0,2013.0
University of Akron,University of Akron,29,26,1993,2021,1996.0,2015.0
University of Houston,University of Houston,27,26,1996,2023,1997.0,2023.0
University of Kansas,University of Kansas,31,26,1993,2023,1998.0,2001.0
University of Rochester,University of Rochester,32,26,1991,2023,1997.0,2013.0
Dartmouth College,Dartmouth College,30,25,1991,2023,1996.0,2019.0
Rice University,Rice University,29,25,1991,2023,1999.0,2023.0
University of Oklahoma (All Campuses),University of Oklahoma,25,25,1999,2023,1999.0,2017.0
Virginia Commonwealth University (VCU),Virginia Commonwealth University,26,25,1997,2023,1999.0,2021.0
Wake Forest University,Wake Forest University,27,25,1991,2023,1993.0,2021.0
Wayne State University,Wayne State University,30,25,1993,2023,1998.0,1998.0
Brown University,Brown University,24,24,1993,2023,1981.0,2021.0
Colorado State University,Colorado State University,32,24,1991,2023,2000.0,2007.0
New Jersey Institute of Technology,New Jersey Institute of Technology,24,24,1995,2018,1985.0,2003.0
North Carolina State University,North Carolina State University,29,24,1991,2023,1997.0,2011.0
University of Utah,University of Utah,32,24,1991,2023,1999.0,2013.0
Arizona State University,Arizona State University,31,23,1993,2023,2001.0,2018.0
Boston University,Boston University,26,23,1995,2023,2000.0,2017.0
Oregon State University,Oregon State University,33,23,1991,2023,2001.0,2023.0
Purdue University,Purdue University,29,23,1994,2023,2000.0,2017.0
University of Southern California,University of Southern California,33,23,1991,2023,2001.0,2001.0
Kansas State University,Kansas State University,31,22,1993,2023,2002.0,2002.0
University of Dayton,University of Dayton,27,22,1991,2018,1996.0,2015.0
University of South Alabama,University of South Alabama,22,22,1994,2019,1984.0,2005.0
Utah State University,Utah State University,23,22,1998,2023,1999.0,2016.0
Brandeis University,Brandeis University,21,21,1993,2023,1990.0,2020.0
Case Western Reserve University,Case Western Reserve University,33,21,1991,2023,2003.0,2003.0
University of Nebraska,University of Nebraska,28,21,1993,2023,2003.0,2019.0
New Mexico State University,New Mexico State University,20,20,1993,2015,1993.0,2013.0
University of Chicago,University of Chicago,28,20,1994,2023,2002.0,2018.0
University of Texas Southwestern Medical Center,University of Texas Southwestern Med. Ctr_,20,20,1991,2023,1978.0,2022.0
University of Washington,University of Washington,32,20,1991,2023,2003.0,2015.0
Drexel University,Drexel University,22,19,1993,2023,2005.0,2018.0
Tufts University,Tufts University,29,19,1994,2023,2005.0,2005.0
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,18,18,1998,2023,1985.0,2018.0
Georgetown University,Georgetown University,27,18,1993,2023,2006.0,2019.0
University of Rhode Island,University of Rhode Island,18,18,1993,2013,1986.0,2013.0
Southern Illinois University,Southern Illinois University,17,17,1997,2023,1992.0,2022.0
University of Illinois at Urbana-Champaign,University of Illinois Urbana Champaign,32,17,1991,2023,2006.0,2023.0
"University of Maryland, Baltimore (UMB)",University of Maryland Baltimore,17,17,1991,2008,1990.0,2006.0
University of Michigan,University of Michigan,33,17,1991,2023,2007.0,2021.0
University of New Hampshire,University of New Hampshire,28,17,1995,2023,2007.0,2014.0
University of Texas At Austin,University of Texas at Austin,17,17,1991,2023,1978.0,2021.0
University of Texas Health Science Center at San Antonio,University of Texas Hlth Sci Ctr San Antonio,17,17,1991,2008,1978.0,1978.0
West Virginia University,West Virginia University,17,16,1997,2023,1999.0,2019.0
Northeastern University,Northeastern University,17,15,1993,2023,1995.0,2023.0
University of Alabama in Huntsville (UAH),University of Alabama in Huntsville (UAH),15,15,2005,2023,1991.0,2018.0
University of Cincinnati,University of Cincinnati,33,15,1991,2023,2009.0,2019.0
University of Idaho,University of Idaho,15,15,2008,2023,1998.0,2022.0
Michigan Technological University,Michigan Technological University,29,14,1995,2023,2010.0,2011.0
Oklahoma State University,Oklahoma State University,28,14,1996,2023,2010.0,2019.0
Princeton University,Princeton University,24,14,1991,2023,2001.0,2017.0
Thomas Jefferson University,Thomas Jefferson University,19,14,1993,2023,1998.0,2006.0
University of Minnesota,University of Minnesota,33,14,1991,2023,2010.0,2022.0
Florida Atlantic University,Florida Atlantic University,17,13,1991,2023,2001.0,2020.0
Portland State University,Portland State University,13,13,2009,2023,1997.0,2015.0
Vanderbilt University,Vanderbilt University,33,13,1991,2023,2011.0,2016.0
Auburn University,Auburn University,29,12,1995,2023,2012.0,2012.0
East Carolina University,East Carolina University,28,12,1996,2023,2012.0,2021.0
Northern Illinois University,Northern Illinois University,15,12,1994,2023,2007.0,2007.0
University of South Florida,University of South Florida,31,12,1991,2023,2012.0,2023.0
University of Texas Medical Branch (Galveston),University of Texas Medical Branch (Galveston),12,12,1993,2008,1978.0,1978.0
Oregon Health Sciences University,Oregon Health Sciences University,29,11,1993,2023,2013.0,2013.0
Stevens Institute of Technology,Stevens Institute of Technology,14,11,1995,2020,2000.0,2018.0
University of Central Florida,University of Central Florida,29,11,1991,2023,2013.0,2013.0
University of Florida,University of Florida,32,11,1991,2023,2013.0,2013.0
University of North Carolina at Chapel Hill,University of North Carolina Chapel Hill,33,11,1991,2023,2013.0,2013.0
North Dakota State University,North Dakota State University,25,10,1995,2020,2010.0,2017.0
