Institution_Year_Key,Institution,Year,Source_Year,Is_Carried_Forward,STATE,Private,Carnegie R1,MEDSCHOOL,Urbanicity (cat),Land-Grant Institution,Stem program,Type,Med,LG,n_sentences,n_words,Mean_Tone_Score,Median_Tone_Score,supportive_share,neutral_share,restrictive_share,supportive_per_1000w,restrictive_per_1000w,sanction_per_1000w,second_person_per_1000w,inclusive_we_per_1000w,obligation_modal_share,mean_sentence_length,long_sentence_share,procedural_share,legalese_per_1000w,iptech_per_1000w,madey2002_per_1000w,roche2011_per_1000w,Tone_Index,Clarity_Index,Legal_Load_Index
Albert Einstein/Yeshiva || 1985,Albert Einstein/Yeshiva,1985,1985.0,0,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1986,Albert Einstein/Yeshiva,1986,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1987,Albert Einstein/Yeshiva,1987,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1988,Albert Einstein/Yeshiva,1988,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1989,Albert Einstein/Yeshiva,1989,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1990,Albert Einstein/Yeshiva,1990,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1991,Albert Einstein/Yeshiva,1991,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1992,Albert Einstein/Yeshiva,1992,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1993,Albert Einstein/Yeshiva,1993,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1994,Albert Einstein/Yeshiva,1994,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
Albert Einstein/Yeshiva || 1995,Albert Einstein/Yeshiva,1995,1985.0,1,NY,1.0,0.0,1.0,Urban,0.0,1.0,Private R2,Y,N,49.0,2091.0,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964829331610327,-0.25026349141556115,1.0311445209106187
