Institution,Institution_std,Year,Mean_Tone_Score,Median_Tone_Score,[ID],TLO Age,MEDSCHOOL,MEDSCHOOL (cat),STATE,STATE (cat),INSTTYPE,INSTTYPE (cat),Carnegie R1,Carnegie R2,Carnegie Classification (cat),Private,Private (cat),Stem program,Stem program (cat),Urbanicity,Urbanicity (cat),Land-Grant Institution,Land-Grant Institution (cat),Tot Res Exp,tot_res_expend,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Net Licensing Income,License Income/Invention Disclosure,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,Fed Disclosure,INVDISRES,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,Iss US Pat_Missing,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,startup_missing,St-Ups w Equ,Lic FTEs,Oth FTEs,Ex Copyright Lic,Ex Oth Non-Open Src Lic,Ex Pat Lic,Non-Ex Copyright Lic,Non-Ex Oth Non-Open Src Lic,Non-Ex Pat Lic,Tot Copyright Lic,Tot Oth Non_Open Src Lic,Tot Pat Lic,Non-Bin Gndr Disc,Non-Bin Gndr Disc (cat),Race Ethnicity,Race Ethnicity (cat),Non-Bin Gndr Pat,Non-Bin Gndr Pat (cat),Race Ethnicity Pat,Race Ethnicity Pat (cat),Institution_std_lower,Flat,Flat (cat),$0-10k,$10-50k,$50-100k,$100-300k,$300-500k,$0.5-1M,>$1M,Royalty Share,royalty_adjusted,royalty_adjusted_numerical,weighted_share,Fee,Lab,Lab (cat),More,More (cat),combinedshare_LS,faculty2,matching,faculty2_corrected,invdisrec,newpatappfld,issuspat,discperfaculty2,appperfac2,issperfac2,Institution Founding Year,Age_of_uni,n_sentences,n_words,supportive_per_1000w,restrictive_per_1000w,sanction_per_1000w,second_person_per_1000w,inclusive_we_per_1000w,obligation_modal_share,mean_sentence_length,long_sentence_share,procedural_share,legalese_per_1000w,iptech_per_1000w,Tone_Index,Clarity_Index,Legal_Load_Index
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,1998,0.350688588,0.43644599,95002,13,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,125000000,,35,99000000,1050000,341000,219000,,22,0,29,4,2,,13,,,, ,,14,, ,"$300,000.00 ","$1,503,000.00 ","$60,185.19 ",1625000, ,27,,,7,,,,17,12,0,0,2,0,0,2,0,,1,1,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,0.00%,0,No,0,No,30.00%,10857,1998Albert Einstein/Yeshiva,199,9,0,0,0.045351475,0,0,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2007,0.350688588,0.43644599,95002,22,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,149961430,,8,148000000,1961430,0,0,,4,3,0,6,2,9,4,8,0,,$0.00 ,0,35,17,"$1,956,924.00 ", ,"$1,975,404.00 ","$49,385.10 ",1975404,18480,40,,7,36,8,27,1,74,12,0,1,8,,0,2,0,1,5,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,20.00%,0,No,0,No,26.67%,10678,2007Albert Einstein/Yeshiva,199,268,84,40,0.16521353,0.051783346,0.024658736,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2008,0.350688588,0.43644599,95002,23,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,145523590,,4,143866245,1657345,0,0,,2,0,0,3,1,22,1,3,1,,"$566,390.00 ",0,24,12,"$1,387,955.00 ", ,"$2,034,755.00 ","$70,163.97 ",2034755,80410,29,,3,12,0,12,0,30,8,0,,,,0,1,0,0,5,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,0.00%,0,No,0,No,40.00%,10671,2008Albert Einstein/Yeshiva,199,174,94,27,0.1568038,0.0847101,0.024331624,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2009,0.350688588,0.43644599,95002,24,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,142966051,,10,140794345,2171706,0,0,,4,1,3,5,2,15,6,10,0,,$0.00 ,1,40,21,"$2,841,081.00 ", ,"$2,966,838.00 ","$58,173.29 ",2966838,125757,51,,,8,0,8,0,20,7,0,2,13,0,0,2,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,0.00%,0,No,0,No,40.00%,10596,2009Albert Einstein/Yeshiva,199,120,50,18,0.10814055,0.045058563,0.016221082,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2010,0.350688588,0.43644599,95002,25,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,152161016,,13,150343210,1817805,0,0,,3,2,5,6,2,57,8,11,2,0,"$2,843,256.00 ",2,31,25,"$3,508,266.00 ","$88,575.00 ","$6,496,431.00 ","$120,304.28 ",6496431,144909,54,,,20,0,20,0,40,19,0,,13,,0,2,0,2,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,20.00%,0,No,0,No,26.67%,9188,2010Albert Einstein/Yeshiva,199,233,104,38,0.14363714,0.064112715,0.023425799,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2011,0.350688588,0.43644599,95002,26,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,183514082,,13,181124222,2389860,0,0,,2,1,8,4,1,25,6,8,5,0,$0.00 ,1,47,22,"$4,176,397.00 ", ,"$4,356,987.00 ","$90,770.56 ",4356987,180590,48,,,34,0,33,1,68,14,0,4,12,0,0,1,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,10114,2011Albert Einstein/Yeshiva,199,,,,,,,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2012,0.350688588,0.43644599,95002,27,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,195244076,,15,192736489,2507587,0,0,,4,0,4,7,4,45,10,14,1,,$0.00 ,1,59,27,"$4,434,730.00 ", ,"$4,746,014.00 ","$68,782.81 ",4746014,311284,69,,,34,0,34,0,80,15,0,,,,0,,1,, , ,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,9425,2012Albert Einstein/Yeshiva,199,,,,,,,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2013,0.350688588,0.43644599,95002,28,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,180685671,,19,177178886,3506785,0,0,,6,2,,,4,35,12,18,1,0,"$1,885.00 ",1,34,23,"$3,210,035.00 ", ,"$3,442,097.00 ","$60,387.67 ",3442097,230177,57,,,46,0,46,0,97,20,0,,,,2,4,0,2,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,10237,2013Albert Einstein/Yeshiva,199,,,,,,,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2014,0.350688588,0.43644599,95002,29,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,148384135,,27,144884321,3499814,0,217599,99,5,1,11,12,4,40,21,26,1,,$0.00 ,0,81,31,"$3,053,212.00 ","$122,276.00 ","$3,483,496.00 ","$50,244.57 ",3265897,212685,65,,,37,0,37,0,85,19,0,1,,,1,4,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,10472,2014Albert Einstein/Yeshiva,199,199,73,46,0.12267721,0.045002192,0.028357547,1886,139,57,2167,3.230272266,16.6128288,0,0,0,0.855072464,38.01754386,0.526315789,0.122807018,1.3844024,60.91370558,-0.333099885,0.047817454,1.007284969
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2015,0.403530948,0.450706152,71137,30,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,180261448,,20,176947893,3313555,0,0,,2,1,13,5,2,,16,18,2,,$0.00 ,1,66,26,"$3,988,741.00 ","$96,115.00 ","$4,159,494.00 ","$63,992.22 ",4159494,170753,65,,,18,0,18,0,66,7,0,1,,,0,1,0,1,3,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,10114,2015Albert Einstein/Yeshiva,199,,,,,,,1886,139,76,2530,2.766798419,21.73913043,0,0,0,0.898876404,33.28947368,0.421052632,0.118421053,2.371541502,53.35968379,-0.574614284,0.345277312,1.069728264
